 ,Donald J. Trump,Joseph R. Biden,Roque Rocky De La Fuente,Don Blankenship,Ricki Sue King,Howie Hawkins,Jo Jorgensen,Brock Pierce,Kanye West,Write-in,Undervotes,Overvotes,Total,
Adair,2917,1198,6,4,0,4,35,1,7,5,22,6,4205,
Adams,1530,590,2,3,0,1,27,0,2,5,13,1,2174,
Allamakee,4735,2576,4,12,1,4,71,5,5,9,40,17,7479,
Appanoose,4512,1891,2,5,5,9,72,4,6,10,18,19,6553,
Audubon,2295,1071,1,5,0,7,32,3,2,4,27,8,3455,
Benton,0,0,0,0,0,0,0,0,0,0,0,0,0,
Black Hawk,29640,35647,54,67,20,103,722,21,146,173,262,115,66970,
Boone,8695,6303,15,19,7,24,198,11,34,34,63,20,15423,
Bremer,8294,5958,8,19,4,24,185,4,20,30,59,22,14627,
Buchanan,6420,4169,14,19,4,20,96,0,22,10,90,15,10879,
Buena Vista,5056,2961,15,15,3,10,66,3,20,18,60,39,8266,
Butler,5542,2424,4,8,3,14,68,8,13,14,28,10,8136,
Calhoun,3689,1470,5,8,3,3,59,2,10,9,21,7,5286,
Carroll,7737,3454,9,8,2,13,68,0,15,29,73,13,11421,
Cass,4969,2201,3,10,1,8,61,1,12,10,41,23,7340,
Cedar,6161,4337,6,14,3,22,124,1,12,23,46,13,10762,
Cerro Gordo,12442,10941,36,25,5,42,196,9,48,57,72,54,23927,
Cherokee,4495,1936,6,6,0,3,48,1,8,15,17,7,6542,
Chickasaw,4308,2233,6,6,4,10,47,1,2,14,32,13,6676,
Clarke,3144,1466,1,3,1,3,34,1,8,9,23,5,4698,
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clayton,6106,3340,5,10,5,18,82,1,14,13,35,9,9638,
Clinton,13361,10812,6,36,9,47,314,6,47,49,90,34,24811,
Crawford,4854,2220,2,6,4,8,42,1,9,8,58,12,7224,
Dallas,27987,26879,38,27,19,57,744,9,87,175,191,55,56268,
Davis,3032,1013,2,4,4,5,30,1,8,3,23,8,4133,
Decatur,2615,1120,6,3,3,11,29,3,11,3,15,8,3827,
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,
Des Moines,10592,8893,14,16,8,52,275,12,44,50,89,37,20082,
Dickinson,7438,3661,7,8,8,8,92,2,6,14,41,21,11306,
Dubuque,27214,25657,30,58,13,125,556,14,115,144,217,42,54185,
Emmet,3265,1520,3,5,1,12,36,2,6,3,23,9,4885,
Fayette,6145,3835,10,16,5,27,102,1,16,29,47,16,10249,
Floyd,4732,3172,7,12,3,10,63,6,12,15,43,6,8081,
Franklin,3422,1626,8,6,3,5,45,1,3,11,37,11,5178,
Fremont,2711,1080,0,5,2,6,37,0,10,6,27,5,3889,
Greene,3223,1769,4,5,4,4,36,1,5,6,20,7,5084,
Grundy,4929,2206,0,7,2,12,87,10,7,16,32,5,7313,
Guthrie,4272,1985,1,6,0,7,79,1,12,8,22,7,6400,
Hamilton,4956,2843,7,6,5,7,71,11,11,26,27,10,7980,
Hancock,4390,1683,8,9,4,7,49,0,11,11,24,12,6208,
Hardin,5850,2976,5,10,3,11,105,3,12,14,30,10,9029,
Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,
Henry,6507,3275,7,8,8,15,128,3,13,18,49,12,10043,
Howard,3127,1772,1,6,2,10,23,0,11,6,29,9,4996,
Humboldt,3819,1442,3,6,1,4,39,0,7,6,21,5,5353,
Ida,2880,917,0,10,0,6,27,1,3,5,17,4,3870,
Iowa,6009,3547,9,11,1,15,102,3,19,26,57,9,9808,
Jackson,6940,4029,12,9,6,13,79,4,26,17,73,19,11227,
Jasper,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jefferson,4443,4319,5,7,1,32,95,4,20,33,36,14,9009,
Johnson,22925,59177,22,62,19,213,964,18,170,281,254,93,84198,
Jones,6572,4213,7,12,5,15,118,3,20,24,60,9,11058,
Keokuk,3797,1414,7,10,2,2,51,2,6,12,31,4,5338,
Kossuth,6275,2696,4,10,2,10,61,4,15,13,40,9,9139,
Lee,9773,6541,8,31,9,34,240,25,38,35,63,32,16829,
Linn,53364,70874,48,117,34,325,2015,36,265,380,429,149,128036,
Louisa,3500,1726,3,5,3,5,67,5,12,6,21,19,5372,
Lucas,3287,1284,1,5,3,6,30,2,4,8,11,7,4648,
Lyon,5707,1067,1,4,0,6,56,0,11,11,52,9,6924,
Madison,6507,3134,7,6,2,12,124,5,9,18,25,4,9853,
Mahaska,8297,2894,8,10,2,13,134,4,19,23,37,17,11458,
Marion,12663,6178,10,24,6,24,233,5,30,59,77,22,19331,
Marshall,9571,8176,17,22,8,31,216,7,49,39,70,65,18271,
Mills,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mitchell,3677,2053,3,6,4,9,56,1,6,7,37,8,5867,
Monona,3248,1407,3,5,0,3,36,3,9,14,19,7,4754,
Monroe,2975,1078,2,0,1,3,21,0,5,3,25,6,4119,
Montgomery,3659,1583,3,9,1,6,50,2,7,7,21,12,5360,
Muscatine,10823,9372,8,21,9,57,293,9,37,42,114,22,20807,
O'Brien,5861,1569,6,7,4,6,77,2,9,10,29,10,7590,
Osceola,0,0,0,0,0,0,0,0,0,0,0,0,0,
Page,5319,2086,8,7,0,10,76,1,12,9,31,14,7573,
Palo Alto,3370,1519,0,3,1,8,43,1,5,8,35,7,5000,
Plymouth,10492,3494,13,7,8,13,112,2,24,23,49,21,14258,
Pocahontas,2826,933,0,8,1,2,37,4,6,6,22,3,3848,
Polk,106800,146250,213,200,79,487,3322,78,562,764,750,528,260033,
Pottawattamie,26247,18575,10,56,14,93,552,11,81,105,150,48,45942,
Poweshiek,5657,4306,5,19,3,26,90,4,14,16,46,12,10198,
Ringgold,1968,709,0,5,2,2,18,1,3,6,29,2,2745,
Sac,4061,1389,2,9,2,6,47,1,10,8,30,3,5568,
Scott,43683,46926,51,96,32,209,1124,22,181,275,268,186,93053,
Shelby,4697,1959,3,12,6,7,83,5,9,14,24,10,6829,
Sioux,15680,3019,9,21,5,23,170,2,27,95,88,19,19158,
Story,20340,29175,36,51,10,147,924,21,133,201,186,29,51253,
Tama,5303,3577,2,12,3,19,87,2,21,22,41,9,9098,
Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,
Union,4010,2061,6,6,4,10,61,2,11,14,22,4,6211,
Van Buren,2859,875,2,5,2,6,23,1,7,11,12,1,3804,
Wapello,9516,5821,6,14,3,22,200,5,26,20,49,53,15735,
Warren,17782,12574,27,30,8,51,430,4,47,86,182,20,31241,
Washington,6971,4561,6,13,1,21,144,4,24,20,40,15,11820,
Wayne,2338,727,2,5,1,3,20,1,6,6,20,3,3132,
Webster,0,0,0,0,0,0,0,0,0,0,0,0,0,
Winnebago,3707,2135,3,6,2,8,72,3,15,19,32,12,6014,
Winneshiek,6235,5617,6,15,5,21,112,6,19,28,67,14,12145,
Woodbury,25736,18704,33,55,11,96,435,18,84,190,180,158,45700,
Worth,2738,1596,8,8,1,7,38,4,14,4,15,3,4436,
Wright,897672,759061,1082,1707,546,3075,19637,544,3210,4337,6614,2645,1700130,
